PHOR,ФосАгро ПАО ао,PHOR,4375.0
PIKK,ПИК СЗ (ПАО) ао,PIKK,989.5
PLZL,Полюс ПАО ао,PLZL,15143.0
PMSB,"""Пермэнергосбыт"" ПАО ао",PMSB,150.6
PMSBP,"""Пермэнергосбыт"" ПАО ап",PMSBP,149.2
POGR,Petropavlovsk PLC,POGR,28.01
POLY,Polymetal International plc,POLY,1668.0
PRMB,"АКБ ""Приморье"" ао",PRMB,34200.0
QIWI,QIWI PLC,QIWI,796.0
RASP,ПАО Распадская ао,RASP,243.34
RAVN,Raven Property Group Limited,RAVN,29.85
RBCM,РБК ПАО ао,RBCM,3.986
RDRB,РоссийскийДорож Банк ПАО ао,RDRB,232.0
RGSS,Росгосстрах СК ПАО ао,RGSS,0.231
RKKE,РКК Энергия им.С.П.Королева ао,RKKE,7570.0
RNFT,РуссНефть НК ПАО ао,RNFT,171.0
ROLO,"""Русолово"" ПАО ао",ROLO,11.5
ROSB,РОСБАНК ПАО ао,ROSB,78.8
ROSN,ПАО НК Роснефть,ROSN,535.55
ROST,РОСИНТЕР РЕСТОРАНТС (ПАО),ROST,69.8
RSTI,"""Российские сети"" ПАО ао",RSTI,1.455
RSTIP,"""Российские сети"" ПАО ап",RSTIP,2.067
RTGZ,Газпром газорасп Р-н-Д ПАО ао,RTGZ,36700.0
RTKM,Ростелеком (ПАО) ао.,RTKM,104.76
RTKMP,Ростелеком (ПАО) ап.,RTKMP,90.75
RTSB,ТНС энерго Ростов. ПАО ао,RTSB,0.505
RTSBP,ТНС энерго Ростов. ПАО ап,RTSBP,0.481
RUAL,РУСАЛ ОК МКПАО ао,RUAL,55.695
RUGR,Русгрэйн Холдинг ПАО ао,RUGR,12.61
RUSI,РУСС-ИНВЕСТ ИК ПАО ао,RUSI,69.0
RUSP,Русполимет ПАО ао,RUSP,0.747
RZSB,"""Рязанская энергосб.комп"" ПАО",RZSB,19.62
SAGO,Самараэнерго (ПАО) - ао,SAGO,0.628
SAGOP,Самараэнерго (ПАО) - ап,SAGOP,0.508
SARE,Саратовэнерго(ПАО)-ао,SARE,0.125
SAREP,Саратовэнерго(ПАО)-ап,SAREP,0.1062
SBER,Сбербанк России ПАО ао,SBER,317.91
SBERP,Сбербанк России ПАО ап,SBERP,298.1
SELG,"ПАО ""Селигдар""  ао",SELG,44.48
SELGP,"ПАО ""Селигдар"" ап",SELGP,44.6
SFIN,САФМАР Фин.Инвестиции ПАО ао,SFIN,472.2
SGZH,Сегежа ао,SGZH,8.0
SIBN,Газпром нефть ПАО ао,SIBN,374.25
SLEN,"ПАО ""Сахалинэнерго"" ао",SLEN,6.16
SMLT,ГК Самолет ао,SMLT,1546.2
SNGS,Сургутнефтегаз ПАО акции об.,SNGS,35.65
SNGSP,Сургутнефтегаз ПАО ап,SNGSP,43.98
STSB,Ставрополэнергосбыт ПАО ао,STSB,0.5955
STSBP,Ставрополэнергосбыт ПАО ап,STSBP,0.566
SVAV,"ОАО ""СОЛЛЕРС"" ао",SVAV,222.0
TASB,"ао""Тамбов.энергсбыт.комп.""ПАО",TASB,0.438
TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО",TASBP,0.354
TATN,"ПАО ""Татнефть"" ао",TATN,513.1
TATNP,"ПАО ""Татнефть"" ап 3 вып.",TATNP,481.2
TCSG,ГДР TCS Group Holding ORD SHS,TCSG,4540.0
TGKA,"ао ПАО ""ТГК-1""",TGKA,0.012278
TGKB,"ао ПАО ""ТГК-2""",TGKB,0.004385
TGKBP,"ап ПАО ""ТГК-2""",TGKBP,0.00702
TGKD,Квадра ПАО ао,TGKD,0.0069
TGKDP,Квадра ПАО ап,TGKDP,0.006
TGKN,"ао ПАО ""ТГК-14""",TGKN,0.00302
TNSE,"ПАО ГК ""ТНС энерго"" ао",TNSE,975.0
TORS,"ао ""Томская распределит.комп.""",TORS,0.371
TORSP,"ап ""Томская распределит.комп.""",TORSP,0.2735
TRCN,ТрансКонтейнер ПАО ао,TRCN,8595.0
TRFM,ПАО ТрансФин-М ао,TRFM,
TRMK,ПАО ТМК,TRMK,74.98
TRNFP,Транснефть ПАО акц.пр.,TRNFP,139000.0
TTLK,"""Таттелеком"" ПАО ао",TTLK,0.6355
TUZA,Туймаз. завод автобетоновозов,TUZA,95.0
UCSS,ПАО ОКС ао,UCSS,1090.0
UKUZ,Южный Кузбасс ПАО ао,UKUZ,580.0
UNAC,Об.авиастр.корп. ПАО ао,UNAC,0.5755
UNKL,Южно-Уральский никел. комб. ао,UNKL,9620.0
UPRO,Юнипро ПАО ао,UPRO,2.837
URKA,Уралкалий ПАО ао,URKA,119.04
URKZ,"ПАО ""Уральская кузница"" ао",URKZ,17220.0
USBN,БАНК УРАЛСИБ ПАО ао,USBN,0.0741
UTAR,"Авиакомания ""ЮТэйр"" (ПАО) ао",UTAR,7.0
UWGN,ПАО НПК ОВК ао,UWGN,83.1
VGSB,"""Волгоград.энергосбыткомп"" ПАО",VGSB,3.85
VGSBP,"""Волгоград.энергосбыткомп"" ПАО",VGSBP,1.995
VJGZ,Варьеганнефтегаз ПАО ао,VJGZ,1906.0
VJGZP,Варьеганнефтегаз ПАО ап,VJGZP,637.0
VLHZ,Владимирский химич.з-д(ПАО) ао,VLHZ,75.95
VRSB,ТНС энерго Воронеж ПАО ао,VRSB,67.4
VRSBP,ТНС энерго Воронеж ПАО ап,VRSBP,41.8
VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао,VSMO,25100.0
VSYD,Выборгский Суд.Завод ПАО ао,VSYD,4835.0
VSYDP,Выборгский Суд.Завод ПАО ап,VSYDP,4800.0
VTBR,ао ПАО Банк ВТБ,VTBR,0.05269
VZRZ,"Банк ""Возрождение""-ао",VZRZ,480.0
