TASB,"ао""Тамбов.энергсбыт.комп.""ПАО",TASB,0.41
TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО",TASBP,0.3
TATN,"ПАО ""Татнефть"" ао",TATN,566.5
TATNP,"ПАО ""Татнефть"" ап 3 вып.",TATNP,530.7
TCSG,ГДР TCS Group Holding ORD SHS,TCSG,4399.0
TGKA,"ао ПАО ""ТГК-1""",TGKA,0.011988
TGKB,"ао ПАО ""ТГК-2""",TGKB,0.004195
TGKBP,"ап ПАО ""ТГК-2""",TGKBP,0.0068
TGKD,Квадра ПАО ао,TGKD,0.0048
TGKDP,Квадра ПАО ап,TGKDP,0.00461
TGKN,"ао ПАО ""ТГК-14""",TGKN,0.003
TNSE,"ПАО ГК ""ТНС энерго"" ао",TNSE,985.0
TORS,"ао ""Томская распределит.комп.""",TORS,0.365
TORSP,"ап ""Томская распределит.комп.""",TORSP,0.269
TRCN,ТрансКонтейнер ПАО ао,TRCN,8595.0
TRFM,ПАО ТрансФин-М ао,TRFM,
TRMK,ПАО ТМК,TRMK,91.72
TRNFP,Транснефть ПАО акц.пр.,TRNFP,145000.0
TTLK,"""Таттелеком"" ПАО ао",TTLK,0.6015
TUZA,Туймаз. завод автобетоновозов,TUZA,95.0
UCSS,ПАО ОКС ао,UCSS,1150.0
UKUZ,Южный Кузбасс ПАО ао,UKUZ,602.0
UNAC,Об.авиастр.корп. ПАО ао,UNAC,0.556
UNKL,Южно-Уральский никел. комб. ао,UNKL,9640.0
UPRO,Юнипро ПАО ао,UPRO,2.883
URKA,Уралкалий ПАО ао,URKA,119.04
URKZ,"ПАО ""Уральская кузница"" ао",URKZ,17600.0
USBN,БАНК УРАЛСИБ ПАО ао,USBN,0.0757
UTAR,"Авиакомания ""ЮТэйр"" (ПАО) ао",UTAR,6.87
UWGN,ПАО НПК ОВК ао,UWGN,110.9
VGSB,"""Волгоград.энергосбыткомп"" ПАО",VGSB,3.945
VGSBP,"""Волгоград.энергосбыткомп"" ПАО",VGSBP,2.08
VJGZ,Варьеганнефтегаз ПАО ао,VJGZ,2011.0
VJGZP,Варьеганнефтегаз ПАО ап,VJGZP,652.0
VLHZ,Владимирский химич.з-д(ПАО) ао,VLHZ,75.45
VRSB,ТНС энерго Воронеж ПАО ао,VRSB,66.6
VRSBP,ТНС энерго Воронеж ПАО ап,VRSBP,42.0
VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао,VSMO,24000.0
VSYD,Выборгский Суд.Завод ПАО ао,VSYD,4995.0
VSYDP,Выборгский Суд.Завод ПАО ап,VSYDP,4840.0
VTBR,ао ПАО Банк ВТБ,VTBR,0.04818
VZRZ,"Банк ""Возрождение""-ао",VZRZ,480.0
VZRZP,"Банк ""Возрождение"" - ап",VZRZP,266.0
WTCM,"""Центр междун. торговли""ПАО ао",WTCM,11.4
WTCMP,"""Центр междун. торговли""ПАО ап",WTCMP,10.42
YAKG,Якутская топл.-энерг. комп. ао,YAKG,118.9
YKEN,"АК ""Якутскэнерго"" (ПАО) ао",YKEN,0.436
YKENP,"АК ""Якутскэнерго"" (ПАО) ап",YKENP,0.3805
YNDX,PLLC Yandex N.V. class A shs,YNDX,4634.2
YRSB,ТНС энерго Ярославль ПАО ао,YRSB,224.0
YRSBP,ТНС энерго Ярославль ПАО ап,YRSBP,92.0
ZILL,Завод им. И.А.Лихачева ПАО ао,ZILL,3620.0
ZVEZ,ЗВЕЗДА ПАО ао,ZVEZ,4.21
